filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39327199,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_43313117,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40137983,18,19,17,1,1,0,0.111,0.944,0.895,0.919
common_voice_he_40978609,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39753226,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39844332,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38078781,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40978542,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38104806,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41616697,19,19,18,0,1,1,0.105,0.947,0.947,0.947
common_voice_he_38142090,19,19,17,2,0,0,0.105,0.895,0.895,0.895
common_voice_he_41869860,19,18,17,1,0,1,0.105,0.895,0.944,0.919
common_voice_he_39937157,20,20,18,2,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605201,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_38146664,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_40137980,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_40001956,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_38744646,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_39327095,10,11,10,0,1,0,0.100,1,0.909,0.952
common_voice_he_39785425,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_39831294,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_39659794,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605214,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_40977316,20,20,18,2,0,0,0.100,0.900,0.900,0.900
common_voice_he_38118874,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_40612862,21,21,19,2,0,0,0.095,0.905,0.905,0.905
common_voice_he_38104834,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_38142073,11,10,10,0,0,1,0.091,0.909,1,0.952
common_voice_he_38118870,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_42922381,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_43313119,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_41616758,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39753068,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_41616625,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_38568965,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_40909682,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_38115877,12,12,11,1,0,0,0.083,0.917,0.917,0.917
