filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39326862,7,7,0,7,0,0,1,0,0,0
common_voice_he_39326863,12,12,12,0,0,0,0,1,1,1
common_voice_he_39326864,5,5,0,5,0,0,1,0,0,0
common_voice_he_39326865,11,11,8,3,0,0,0.273,0.727,0.727,0.727
common_voice_he_39326866,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39327003,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39327004,5,5,5,0,0,0,0,1,1,1
common_voice_he_39327005,12,12,10,2,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327006,9,9,9,0,0,0,0,1,1,1
common_voice_he_39327007,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327020,7,7,4,3,0,0,0.429,0.571,0.571,0.571
common_voice_he_39327022,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39327024,12,11,9,2,0,1,0.250,0.750,0.818,0.783
common_voice_he_39327025,7,7,7,0,0,0,0,1,1,1
common_voice_he_39327027,7,8,6,1,1,0,0.286,0.857,0.750,0.800
common_voice_he_39327033,4,4,4,0,0,0,0,1,1,1
common_voice_he_39327038,7,7,0,7,0,0,1,0,0,0
common_voice_he_39327040,6,6,0,6,0,0,1,0,0,0
common_voice_he_39327041,12,12,0,12,0,0,1,0,0,0
common_voice_he_39327047,6,6,6,0,0,0,0,1,1,1
common_voice_he_39327048,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39327049,4,4,0,4,0,0,1,0,0,0
common_voice_he_39327050,6,5,4,1,0,1,0.333,0.667,0.800,0.727
common_voice_he_39327051,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39327063,3,3,0,3,0,0,1,0,0,0
common_voice_he_39327065,10,11,0,10,1,0,1.100,0,0,0
common_voice_he_39327066,12,12,0,12,0,0,1,0,0,0
common_voice_he_39327068,11,11,0,11,0,0,1,0,0,0
common_voice_he_39327081,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39327082,6,7,5,1,1,0,0.333,0.833,0.714,0.769
common_voice_he_39327084,12,13,9,3,1,0,0.333,0.750,0.692,0.720
common_voice_he_39327085,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327091,9,9,0,9,0,0,1,0,0,0
common_voice_he_39327092,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327093,3,3,0,3,0,0,1,0,0,0
common_voice_he_39327094,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39327095,8,9,0,8,1,0,1.125,0,0,0
common_voice_he_39327096,4,4,0,4,0,0,1,0,0,0
common_voice_he_39327097,8,8,7,1,0,0,0.125,0.875,0.875,0.875
